"Timestamp","What is your age?","What is your ethnicity/race? ","How do you identify yourself (gender)?","What is your religious standing?","Do you identify with one of the two major political parties? If so, please select one:","It is necessary for the government to preserve order and the rule of law during times of civil unrest (even if it means violating individual rights and the Constitution)","The rule of law is more important than individual freedoms","The decision of President Trump to deploy tear gas against peaceful demonstrators (for his photo op at St. Johns Episcopal Church) is justified","The current militarization of police in the US is necessary","Law enforcement officers should be given leniency for acting on impulse (e.g. ""I feared for my life"")","Law enforcement officers should face more severe penalties for murder (due to their ability to legally wield more firepower)","How do you feel about the statement ""All Cops are Bastards"" (ACAB)?","Is the US police system in need of systematic reform?","The government should treat the peaceful demonstrators separately from the destructive rioters/looters when using force","Do you think President Trump has handled the widespread protests effectively?","Social media activism is helpful (not including donations)","What have you contributed to this social movement so far?","Do you think you will care equally about current sociopolitical issues and activism after the social media hype is dead?","I am part of a systematically oppressed group in the US","Have you had a run-in with the police/other authority that YOU feel was racially motivated?","""White privilege"" is real"," ""A riot is the language of the unheard."" - MLK","We should be:","Additional thoughts (if you would like to add onto any one of your responses or clarify your thoughts on any question)","Do you consent to having your responses included in any analyses of the data?"
"2020/06/04 6:56:54 PM MDT","18-22","White and Indian","Female","Atheist/Agnostic","Democratic Party","1","3","1","1","2","5","3","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 6:57:28 PM MDT","18-22","White and Indian","Female","Atheist/Agnostic","Democratic Party","1","3","1","1","2","5","3","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 6:59:19 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Hindu","No party affiliations","3","3","1","3","3","5","1","Yes","Yes","No","4","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","Neither","","Yes"
"2020/06/04 6:59:22 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Hindu","No party affiliations","3","1","1","2","3","5","1","Yes","Yes","No","5","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","Yes","Yes","Yes","5","""Color-aware""","","Yes"
"2020/06/04 7:00:52 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Democratic Party","2","1","2","1","2","2","3","Yes","Yes","Somewhat","2","Participated or plan to participate in a physical protest/demonstration of any kind;Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","Yes","Somewhat","4","Neither","","Yes"
"2020/06/04 7:01:33 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Republican Party","1","2","1","1","1","5","4","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","Yes","Yes","5","""Color-aware""","","Yes"
"2020/06/04 7:01:53 PM MDT","< 18","Indian/Pakistani (Asian subcontinent)","Male","Atheist/Agnostic","No party affiliations","3","4","1","3","5","4","1","Yes","Yes","No","2","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Somewhat","4","Neither","","Yes"
"2020/06/04 7:03:37 PM MDT","18-22","Caucasian/White","Male","Atheist/Agnostic","Democratic Party","3","2","1","2","4","4","1","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Yes","2","""Color-blind""","","No"
"2020/06/04 7:05:53 PM MDT","< 18","Asian/Pacific Islander","Female","Atheist/Agnostic","No party affiliations","4","3","1","1","1","4","3","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 7:09:23 PM MDT","18-22","Asian/Pacific Islander","Female","Prefer not to say","Democratic Party","1","2","1","1","2","4","3","Yes","No","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","Yes","Yes","5","""Color-aware""","","Yes"
"2020/06/04 7:14:07 PM MDT","18-22","Caucasian/White","Female","Atheist/Agnostic","No party affiliations","2","2","1","2","3","3","2","I don't know","Yes","No","3","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Reflected on your own conscious/subconscious bias","I don't know","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/04 7:15:55 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Atheist/Agnostic","Democratic Party","2","2","1","1","2","5","4","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","Yes","Yes","5","""Color-aware""","","Yes"
"2020/06/04 7:16:22 PM MDT","23-28","Indian/Pakistani (Asian subcontinent)","Male","Atheist/Agnostic","Democratic Party","4","4","1","3","3","5","1","I don't know","Yes","No","4","Reflected on your own conscious/subconscious bias","Yes","No","No","Somewhat","3","""Color-aware""","","Yes"
"2020/06/04 7:16:28 PM MDT","29-55","Caucasian/White","Male","Christian/Catholic","No party affiliations","3","4","1","3","4","4","2","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","No","No","Somewhat","4","Neither","","Yes"
"2020/06/04 7:28:44 PM MDT","18-22","Caucasian/White","Male","Atheist/Agnostic","Democratic Party","1","1","1","1","1","5","4","Yes","Yes","No","1","Participated or plan to participate in a physical protest/demonstration of any kind;Reflected on your own conscious/subconscious bias","Yes","No","Yes","Yes","4","""Color-aware""","","Yes"
"2020/06/04 7:30:19 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Hindu","Democratic Party","5","4","5","5","4","5","4","Yes","Yes","No","4","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Reflected on your own conscious/subconscious bias","Yes","Yes","Yes","Yes","5","""Color-aware""","","Yes"
"2020/06/04 7:31:18 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Atheist/Agnostic","Democratic Party","1","1","1","2","1","5","3","Yes","Yes","No","3","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Yes","1","""Color-aware""","","Yes"
"2020/06/04 7:35:59 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Sikh","No party affiliations","2","3","1","3","2","5","3","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","Yes","Yes","4","Neither","","Yes"
"2020/06/04 7:59:19 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Prefer not to say","Democratic Party","1","1","1","1","1","5","5","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 8:01:28 PM MDT","18-22","Middle Eastern","Female","Atheist/Agnostic","Democratic Party","1","1","1","1","2","4","3","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","""Color-blind""","","Yes"
"2020/06/04 8:02:14 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","No party affiliations","1","1","1","1","2","5","3","Yes","Yes","No","2","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","Neither","","Yes"
"2020/06/04 8:17:31 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Atheist/Agnostic","Democratic Party","1","2","1","1","2","5","4","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 8:33:29 PM MDT","29-55","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","2","2","1","2","2","2","1","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","No","Yes","Yes","2","""Color-aware""","","Yes"
"2020/06/04 8:39:59 PM MDT","< 18","Indian/Pakistani (Asian subcontinent)","Male","Atheist/Agnostic","Democratic Party","2","1","1","1","2","5","4","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/04 9:02:16 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Buddhist","Democratic Party","3","2","1","1","3","5","2","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","""Color-blind""","","Yes"
"2020/06/04 9:04:56 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","2","2","1","1","2","4","3","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias;Printed and stuck posters around my city in public places ","Yes","No","No","Yes","5","Neither","","Yes"
"2020/06/04 9:26:17 PM MDT","18-22","Caucasian/White","Female","Christian/Catholic","Democratic Party","1","2","1","1","2","4","3","Yes","Yes","No","3","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/04 9:29:24 PM MDT","18-22","Caucasian/White","Male","Atheist/Agnostic","Democratic Party","2","2","1","1","1","5","5","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 9:37:10 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","2","2","1","2","2","5","3","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/04 9:53:22 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","3","2","1","2","2","5","4","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 9:53:42 PM MDT","< 18","Caucasian/White","Male","Atheist/Agnostic","Democratic Party","1","3","1","3","2","5","1","Yes","Yes","No","5","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 10:09:06 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","1","2","1","1","2","5","3","Yes","Yes","No","4","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","Yes","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 10:14:20 PM MDT","18-22","white/asian","Female","Atheist/Agnostic","Democratic Party","2","2","1","1","2","5","3","Yes","Yes","No","3","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","4","""Color-aware""","","Yes"
"2020/06/04 10:23:58 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","2","2","1","1","2","5","4","Yes","Yes","No","3","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 10:26:22 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","2","2","1","1","3","5","3","Yes","Yes","No","3","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","Yes","Yes","5","Neither","","Yes"
"2020/06/04 10:30:28 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Male","Atheist/Agnostic","Democratic Party","1","1","1","1","3","5","3","Yes","Yes","No","2","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","Neither","","Yes"
"2020/06/04 10:45:06 PM MDT","18-22","Hispanic/Latino","Female","Christian/Catholic","Democratic Party","1","2","1","2","1","4","3","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias","Yes","Yes","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 10:50:20 PM MDT","< 18","mixed","Female","Prefer not to say","Democratic Party","1","1","1","1","2","4","5","Yes","Yes","No","4","Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 10:52:05 PM MDT","< 18","Caucasian/White","Female","Christian/Catholic","Republican Party","2","3","1","5","4","3","1","No","Yes","Somewhat","3","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","1","Neither","","Yes"
"2020/06/04 10:58:40 PM MDT","< 18","Indian/Pakistani (Asian subcontinent)","Male","Atheist/Agnostic","No party affiliations","3","4","1","3","5","4","1","Yes","Yes","No","2","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Somewhat","4","Neither","","Yes"
"2020/06/04 11:03:50 PM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Hindu","Democratic Party","1","2","1","1","2","5","3","Yes","Yes","No","4","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","Yes","No","Yes","5","""Color-aware""","","Yes"
"2020/06/04 11:33:27 PM MDT","18-22","Mixed","Male","Atheist/Agnostic","Democratic Party","3","1","1","1","1","5","1","Yes","Yes","No","3","Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.)","Yes","No","No","No","5","""Color-blind""","","Yes"
"2020/06/04 11:41:54 PM MDT","< 18","Indian/Pakistani (Asian subcontinent)","Male","Spiritual","Democratic Party","2","1","1","2","2","5","3","Yes","Yes","No","4","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","Yes","Yes","Yes","4","Neither","","Yes"
"2020/06/04 11:57:46 PM MDT","18-22","Asian/Pacific Islander","Female","Atheist/Agnostic","Democratic Party","4","2","1","1","3","3","4","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","Yes","No","No","Yes","4","""Color-aware""","","Yes"
"2020/06/05 12:01:57 AM MDT","18-22","Indian/Pakistani (Asian subcontinent)","Female","Muslim","Democratic Party","2","2","1","2","1","5","1","Yes","Yes","No","5","Participated or plan to participate in a physical protest/demonstration of any kind;Participated in ""social media activism"" (sharing content, #blackouttuesday, links to donate, etc.);Donated any amount of money/raised funds for an organization (in support of BLM, bailouts for protesters, funds for affected families, etc.);Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","I don't know","No","No","Yes","3","Neither","","Yes"
"2020/06/05 12:10:43 AM MDT","18-22","Asian/Pacific Islander","Female","Christian/Catholic","No party affiliations","3","3","1","4","2","4","1","Yes","Yes","No","4","Had talks with family/friends about potential racial bias;Reflected on your own conscious/subconscious bias","No","No","No","Yes","4","""Color-aware""","","Yes"
